ticker,name,category,subcategory,status,metric,value,source_url,notes,last_updated
LOTF,William Golding - Lord of the Flies (First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-08-18
LOTR,J.R.R. Tolkien - The Lord of the Rings Trilogy (First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-08-18
MARX,Karl Marx - Das Kapital (First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-08-18
MOBYDICK,Herman Melville - Moby-Dick (First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-08-18
NEWTON,Isaac Newton - Principia (First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-08-18
NEWWORLD,Aldous Huxley - Brave New World (First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-08-18
POTTER,J.K. Rowling's Harry Potter and the Philosopher's Stone,books,rare books,exited,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-08-18
RABBIT,The Tale of Peter Rabbit (First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-08-18
ROOSEVELT,Theodore Roosevelt - African Game Trails (Signed First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-08-18
SHKSPR4,"Shakespeare - Comedies, Histories & Tragedies",books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-08-18
TKAM,Harper Lee - To Kill a Mockingbird (Signed First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-08-18
TREASURE,Treasure Island (First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-08-18
TWOCITIES,Charles Dickens - A Tale of Two Cities (First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-08-18
ULYSSES,James Joyce - Ulysses (Matisse Signed),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-08-18
WALDEN,Henry David Thoreau - Walden (First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-08-18
WILDTHING,Where the Wild Things Are (Inscribed First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-08-18
WZRDOFOZ,The Wonderful Wizard of Oz (First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-08-18
